Name,Institution,Country,Type,Papers,Relationship,Description,Website
Tamara Münkemüller,CNRS LECA,France,network,5,PhD supervisor,,
Wilfried Thuiller,CNRS LECA,France,network,4,PhD supervisor,,
Joshua Lynn,University of Manchester,Norway,network,1,TransPlant Network,,
Fanny Dommanget,INRAE,France,network,1,TransPlant Network,,
Brian J. Enquist,University of Arizona,USA,network,1,TransPlant Network,,
Aud H. Halbritter,University of Bergen Bergen Norway,Norway,network,1,TransPlant Network,,
Renaud Jaunatre,INRAE,France,network,1,TransPlant Network,,
Anke Jentsch,University of Bayreuth Germany,Germany,network,1,TransPlant Network,,
Hanna Nomoto,ETH Zürich,Switzerland,network,1,TransPlant Network,,
Lorah Seltzer,University of Arizona,USA,network,1,TransPlant Network,,
Richard James Telford,Norwegian Institute for Nature Research,Norway,network,1,TransPlant Network,,
Vigdis Vandvik,University of Bergen,Norway,network,1,TransPlant Network,,
Jake M. Alexander,ETH Zürich,Switzerland,network,1,Postdoc supervisor,,
Gemma Rutten,University of Bergen,Switzerland,network,1,Close collaboration,,
Rodrigue Friaud,CNRS SETE,France,network,1,MSc supervision,,
Arnaud Foulquier,CNRS LECA,France,network,1,Close collaboration,,
Jean-Christophe Clément,Université Savoie Mont Blanc,France,network,1,Close collaboration,,
Janneke Hille Ris Lambers,ETH Zürich,Switzerland,network,1,Postdoc supervisor,paper_submitted,
Maria J. Santos,University of Zürich,Switzerland,network,0,Close collaboration,paper_ongoing,
Tiziana Koch,University of Zürich,Switzerland,network,0,Close collaboration,paper_ongoing,
Alessia Guggisberg,ETH Zürich,Switzerland,network,0,Close collaboration,paper_ongoing,
William Weaver,University of Michigan,USA,network,0,Close collaboration,paper_ongoing,
Björn Reineking,INRAE,France,network,0,Postdoc supervisor,,
Amy Angert,University of British Columbia,Canada,network,0,Close collaboration,paper_ongoing,
Agostina Torres,ETH Zürich,Switzerland,network,0,Close collaboration,paper_ongoing,
Mikko Tiusanen,ETH Zürich,Switzerland,network,0,Close collaboration,paper_ongoing,
Florian Hartig,University of Regensburg,Germany,network,0,Close collaboration,paper_ongoing,
Maximilian Pichler,University of Regensburg,Germany,network,0,Close collaboration,paper_ongoing,
Maria Paniw,Spanish National Research Council,Spain,network,0,Ecological Forecasting Initiave,paper_ongoing,
Patrícia Singh,University of Potsdam,Germany,network,0,Ecological Forecasting Initiave,paper_ongoing,
Cara Gallagher,Aarhus University,Denmark,network,0,Ecological Forecasting Initiave,paper_ongoing,
Owen Petchey,University of Zürich,Switzerland,network,0,Ecological Forecasting Initiave,paper_ongoing,
Emily Simmonds,University of Edinburgh,Switzerland,network,0,Ecological Forecasting Initiave,paper_ongoing,
Stefanie Lambrigger ,ETH Zürich,Switzerland,network,0,MSc supervision,paper_ongoing,
